blockchain,num_swaps,period,unique_swap_addresses,volume
base,51640,2025-04-19 00:00:00.000 UTC,10543,3648582.9809620962
bnb,33506,2025-05-12 00:00:00.000 UTC,4882,9419866.522322185
arbitrum,68290,2025-05-10 00:00:00.000 UTC,4510,44126896.291050695
arbitrum,10481,2025-02-15 00:00:00.000 UTC,788,2127662.899471642
arbitrum,24892,2025-02-21 00:00:00.000 UTC,1038,9176734.138864296
optimism,11496,2025-03-11 00:00:00.000 UTC,1096,182610.88997334114
base,95978,2025-05-28 00:00:00.000 UTC,26313,7394954.500873353
avalanche_c,821,2025-02-07 00:00:00.000 UTC,148,11499.474071139004
base,56803,2025-04-01 00:00:00.000 UTC,10770,5234949.944743699
unichain,18578,2025-03-23 00:00:00.000 UTC,14315,116715.63375267398
ethereum,12419,2025-05-03 00:00:00.000 UTC,4228,138490163.99956194
base,122729,2025-06-03 00:00:00.000 UTC,38345,7902301.349853452
blast,24,2025-05-04 00:00:00.000 UTC,14,0.9686323633407887
optimism,23647,2025-05-26 00:00:00.000 UTC,4015,576640.5709315285
arbitrum,17397,2025-04-20 00:00:00.000 UTC,2424,5205802.750106383
optimism,5346,2025-04-12 00:00:00.000 UTC,900,78613.35832306958
unichain,14748,2025-04-03 00:00:00.000 UTC,4519,105671.774309171
arbitrum,21466,2025-03-25 00:00:00.000 UTC,3243,5631704.1337162675
zora,133,2025-04-07 00:00:00.000 UTC,7,679.7515813793691
blast,41,2025-05-06 00:00:00.000 UTC,25,3.0529362653011627
worldchain,7,2025-02-25 00:00:00.000 UTC,4,4.893173873438016
unichain,67541,2025-04-23 00:00:00.000 UTC,6414,460536590.93372995
ethereum,12883,2025-04-06 00:00:00.000 UTC,4490,239952479.6205375
worldchain,34210,2025-04-18 00:00:00.000 UTC,97,7280.25779631938
optimism,25003,2025-05-20 00:00:00.000 UTC,3416,1146479.2810996633
bnb,10155,2025-03-14 00:00:00.000 UTC,3051,233234.72869903152
polygon,27962,2025-04-13 00:00:00.000 UTC,2909,2508353.0508046173
zora,8,2025-02-08 00:00:00.000 UTC,3,122.69416480863374
unichain,91167,2025-05-05 00:00:00.000 UTC,6424,326447003.52325875
optimism,10594,2025-02-27 00:00:00.000 UTC,990,144887.88808914687
blast,26,2025-03-15 00:00:00.000 UTC,14,1.3623482391196307
worldchain,26757,2025-04-04 00:00:00.000 UTC,40,2132.8510162718653
polygon,28430,2025-03-06 00:00:00.000 UTC,2935,1702962.990578074
ethereum,2843,2025-02-01 00:00:00.000 UTC,1319,2188908.233074956
polygon,13798,2025-02-02 00:00:00.000 UTC,1393,677440.1654647879
blast,10,2025-02-11 00:00:00.000 UTC,7,1.8691473615725234
bnb,6,2025-01-24 00:00:00.000 UTC,5,1.65728068457602
zora,3,2025-02-20 00:00:00.000 UTC,2,27.56944047878304
blast,1,2025-02-16 00:00:00.000 UTC,1,0.1416117595472769
ethereum,17254,2025-03-19 00:00:00.000 UTC,6600,33711844.182752416
arbitrum,31308,2025-03-19 00:00:00.000 UTC,3036,13027602.355507307
base,96646,2025-05-15 00:00:00.000 UTC,13183,19791831.46164542
polygon,28776,2025-03-12 00:00:00.000 UTC,3179,1444117.6570016225
zora,64,2025-04-20 00:00:00.000 UTC,13,203.22241962945606
blast,16,2025-02-28 00:00:00.000 UTC,7,4.226327193004246
base,45010,2025-02-28 00:00:00.000 UTC,8390,3090814.1764088906
arbitrum,50116,2025-04-07 00:00:00.000 UTC,3984,15004255.670737123
avalanche_c,3296,2025-05-26 00:00:00.000 UTC,551,54045.54630180957
bnb,8439,2025-02-10 00:00:00.000 UTC,2099,708121.0799266646
avalanche_c,2416,2025-04-23 00:00:00.000 UTC,303,31815.630657837948
optimism,18,2025-01-26 00:00:00.000 UTC,6,2.4085889296524474
arbitrum,71231,2025-05-21 00:00:00.000 UTC,4557,75732174.66538556
ethereum,18324,2025-05-29 00:00:00.000 UTC,6854,524456465.33749336
avalanche_c,1626,2025-03-28 00:00:00.000 UTC,357,26315.685862465467
